

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",2,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1975,16.38,"K","",""
"Afghanistan",2,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,39.97,"K","",""
"Afghanistan",2,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,31.04,"K","",""
"Afghanistan",2,"Agricultural water withdrawal as % of total renewable water resources",4273,1987,39.57,"K","",""
"Afghanistan",2,"Agricultural water withdrawal as % of total renewable water resources",4273,1998,30.61,"K","",""
"Albania",3,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1990,3.974,"I","",""
"Albania",3,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,6.086,"I","",""
"Albania",3,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2006,4.341,"I","",""
"Albania",3,"Agricultural water withdrawal as % of total renewable water resources",4273,1990,3.311,"I","",""
"Albania",3,"Agricultural water withdrawal as % of total renewable water resources",4273,1995,2.219,"I","",""
"Albania",3,"Agricultural water withdrawal as % of total renewable water resources",4273,2000,3.51,"I","",""
"Albania",3,"Agricultural water withdrawal as % of total renewable water resources",4273,2006,1.714,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1970,17.14,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1975,21.42,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1980,25.71,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1985,29.99,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1990,38.01,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2001,48.89,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,66.92,"I","",""
"Algeria",4,"Agricultural water withdrawal as % of total renewable water resources",4273,1980,19.02,"I","",""
"Algeria",4,"Agricultural water withdrawal as % of total renewable water resources",4273,1990,23.14,"I","",""
"Algeria",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2001,30.01,"I","",""
"Algeria",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2012,42.76,"I","",""
"Angola",7,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,0.3235,"I","",""
"Angola",7,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,0.4315,"I","",""
"Angola",7,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2005,0.4755,"I","",""
"Angola",7,"Agricultural water withdrawal as % of total renewable water resources",4273,1987,0.246,"I","",""
"Angola",7,"Agricultural water withdrawal as % of total renewable water resources",4273,2000,0.1415,"I","",""
"Angola",7,"Agricultural water withdrawal as % of total renewable water resources",4273,2005,0.0989,"I","",""
"Antigua and Barbuda",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1990,3.269,"","",""
"Antigua and Barbuda",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2005,9.808,"I","",""
"Antigua and Barbuda",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,8.462,"","",""
"Antigua and Barbuda",8,"Agricultural water withdrawal as % of total renewable water resources",4273,1990,1.923,"","",""
"Antigua and Barbuda",8,"Agricultural water withdrawal as % of total renewable water resources",4273,1997,2.5,"I","",""
"Antigua and Barbuda",8,"Agricultural water withdrawal as % of total renewable water resources",4273,2005,2.5,"I","",""
