

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",2,"Total renewable surface water",4185,1962,55.68,"K","",""
"Afghanistan",2,"Total renewable surface water",4185,1967,55.68,"K","",""
"Afghanistan",2,"Total renewable surface water",4185,1972,55.68,"K","",""
"Afghanistan",2,"Total renewable surface water",4185,1977,55.68,"K","",""
"Afghanistan",2,"Total renewable surface water",4185,1982,55.68,"K","",""
"Afghanistan",2,"Total renewable surface water",4185,1987,55.68,"K","",""
"Afghanistan",2,"Total renewable surface water",4185,1992,55.68,"K","",""
"Afghanistan",2,"Total renewable surface water",4185,1997,55.68,"K","",""
"Afghanistan",2,"Total renewable surface water",4185,2002,55.68,"K","",""
"Afghanistan",2,"Total renewable surface water",4185,2007,55.68,"K","",""
"Afghanistan",2,"Total renewable surface water",4185,2012,55.68,"K","",""
"Afghanistan",2,"Total renewable surface water",4185,2014,55.68,"K","",""
"Afghanistan",2,"Total renewable groundwater",4187,1962,10.65,"I","",""
"Afghanistan",2,"Total renewable groundwater",4187,1967,10.65,"I","",""
"Afghanistan",2,"Total renewable groundwater",4187,1972,10.65,"I","",""
"Afghanistan",2,"Total renewable groundwater",4187,1977,10.65,"I","",""
"Afghanistan",2,"Total renewable groundwater",4187,1982,10.65,"I","",""
"Afghanistan",2,"Total renewable groundwater",4187,1987,10.65,"I","",""
"Afghanistan",2,"Total renewable groundwater",4187,1992,10.65,"I","",""
"Afghanistan",2,"Total renewable groundwater",4187,1997,10.65,"I","",""
"Afghanistan",2,"Total renewable groundwater",4187,2002,10.65,"I","",""
"Afghanistan",2,"Total renewable groundwater",4187,2007,10.65,"I","",""
"Afghanistan",2,"Total renewable groundwater",4187,2012,10.65,"I","",""
"Afghanistan",2,"Total renewable groundwater",4187,2014,10.65,"I","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,1962,1.0,"K","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,1967,1.0,"K","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,1972,1.0,"K","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,1977,1.0,"K","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,1982,1.0,"K","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,1987,1.0,"K","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,1992,1.0,"K","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,1997,1.0,"K","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,2002,1.0,"K","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,2007,1.0,"K","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,2012,1.0,"K","",""
"Afghanistan",2,"Overlap: between surface water and groundwater",4536,2014,1.0,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,1962,65.33,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,1967,65.33,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,1972,65.33,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,1977,65.33,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,1982,65.33,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,1987,65.33,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,1992,65.33,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,1997,65.33,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,2002,65.33,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,2007,65.33,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,2012,65.33,"K","",""
"Afghanistan",2,"Total renewable water resources",4188,2014,65.33,"K","",""
"Afghanistan",2,"Dependency ratio",4192,1962,28.72,"K","",""
"Afghanistan",2,"Dependency ratio",4192,1967,28.72,"K","",""
"Afghanistan",2,"Dependency ratio",4192,1972,28.72,"K","",""
"Afghanistan",2,"Dependency ratio",4192,1977,28.72,"K","",""
"Afghanistan",2,"Dependency ratio",4192,1982,28.72,"K","",""
"Afghanistan",2,"Dependency ratio",4192,1987,28.72,"K","",""
"Afghanistan",2,"Dependency ratio",4192,1992,28.72,"K","",""
"Afghanistan",2,"Dependency ratio",4192,1997,28.72,"K","",""
"Afghanistan",2,"Dependency ratio",4192,2002,28.72,"K","",""
"Afghanistan",2,"Dependency ratio",4192,2007,28.72,"K","",""
"Afghanistan",2,"Dependency ratio",4192,2012,28.72,"K","",""
"Afghanistan",2,"Dependency ratio",4192,2014,28.72,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,1962,6992.0,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,1967,6301.0,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,1972,5576.0,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,1977,5004.0,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,1982,5157.0,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,1987,5762.0,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,1992,4753.0,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,1997,3623.0,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,2002,3040.0,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,2007,2525.0,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,2012,2198.0,"K","",""
"Afghanistan",2,"Total renewable water resources per capita",4190,2014,2008.0,"K","",""
"Albania",3,"Total renewable surface water",4185,1962,26.35,"I","",""
"Albania",3,"Total renewable surface water",4185,1967,26.35,"I","",""
"Albania",3,"Total renewable surface water",4185,1972,26.35,"I","",""
"Albania",3,"Total renewable surface water",4185,1977,26.35,"I","",""
"Albania",3,"Total renewable surface water",4185,1982,26.35,"I","",""
"Albania",3,"Total renewable surface water",4185,1987,26.35,"I","",""
"Albania",3,"Total renewable surface water",4185,1992,26.35,"I","",""
"Albania",3,"Total renewable surface water",4185,1997,26.35,"I","",""
"Albania",3,"Total renewable surface water",4185,2002,26.35,"I","",""
"Albania",3,"Total renewable surface water",4185,2007,26.35,"I","",""
"Albania",3,"Total renewable surface water",4185,2012,26.35,"I","",""
"Albania",3,"Total renewable surface water",4185,2014,26.35,"I","",""
"Albania",3,"Total renewable groundwater",4187,1962,6.2,"I","",""
"Albania",3,"Total renewable groundwater",4187,1967,6.2,"I","",""
"Albania",3,"Total renewable groundwater",4187,1972,6.2,"I","",""
"Albania",3,"Total renewable groundwater",4187,1977,6.2,"I","",""
"Albania",3,"Total renewable groundwater",4187,1982,6.2,"I","",""
"Albania",3,"Total renewable groundwater",4187,1987,6.2,"I","",""
"Albania",3,"Total renewable groundwater",4187,1992,6.2,"I","",""
"Albania",3,"Total renewable groundwater",4187,1997,6.2,"I","",""
"Albania",3,"Total renewable groundwater",4187,2002,6.2,"I","",""
"Albania",3,"Total renewable groundwater",4187,2007,6.2,"I","",""
"Albania",3,"Total renewable groundwater",4187,2012,6.2,"I","",""
