

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Albania",3,"Produced municipal wastewater",4269,2012,0.0382,"","[1]",""
"Albania",3,"Treated municipal wastewater",4270,2015,0.026,"","",""
"Albania",3,"Number of municipal wastewater treatment facilities",4515,2007,1.0,"","",""
"Albania",3,"Number of municipal wastewater treatment facilities",4515,2012,4.0,"","",""
"Albania",3,"Number of municipal wastewater treatment facilities",4515,2014,7.0,"","",""
"Algeria",4,"Produced municipal wastewater",4269,1985,0.66,"","[2]",""
"Algeria",4,"Produced municipal wastewater",4269,2012,0.82,"","[3]",""
"Algeria",4,"Collected municipal wastewater",4493,2012,0.705,"","[4]",""
"Algeria",4,"Treated municipal wastewater",4270,2012,0.324,"","[5,6,7]",""
"Algeria",4,"Number of municipal wastewater treatment facilities",4515,2001,44.0,"","",""
"Algeria",4,"Number of municipal wastewater treatment facilities",4515,2012,138.0,"","[8]",""
"Algeria",4,"Capacity of the municipal wastewater treatment facilities",4516,2010,0.27,"","",""
"Algeria",4,"Not treated municipal wastewater",4491,2012,0.496,"I","[9]",""
"Algeria",4,"Not treated municipal wastewater discharged (secondary water)",4517,2008,0.219,"","",""
"Algeria",4,"Direct use of treated municipal wastewater for irrigation purposes",4490,2012,0.01,"","",""
"Algeria",4,"Area equipped for irrigation by direct use of treated municipal wastewater",4533,2006,0.41,"","",""
"Algeria",4,"Area equipped for irrigation by direct use of treated municipal wastewater",4533,2012,1.2,"","",""
"Antigua and Barbuda",8,"Treated municipal wastewater",4270,1990,2.0E-4,"","",""
"Argentina",9,"Produced municipal wastewater",4269,2010,2.458,"","",""
"Argentina",9,"Collected municipal wastewater",4493,2010,1.596,"","[10]",""
"Argentina",9,"Treated municipal wastewater",4270,2000,0.1042,"","[11]",""
"Argentina",9,"Treated municipal wastewater",4270,2010,0.29,"","[12,13,14]",""
"Argentina",9,"Number of municipal wastewater treatment facilities",4515,2000,25.0,"","[15]",""
"Argentina",9,"Number of municipal wastewater treatment facilities",4515,2003,,,"[16]",
"Argentina",9,"Capacity of the municipal wastewater treatment facilities",4516,2010,0.295,"","",""
"Argentina",9,"Not treated municipal wastewater",4491,2010,2.168,"I","[17]",""
"Argentina",9,"Treated municipal wastewater discharged (secondary water)",4510,2000,0.0135,"","[18]",""
"Argentina",9,"Treated municipal wastewater discharged (secondary water)",4510,2003,,,"[19]",
"Argentina",9,"Direct use of treated municipal wastewater",4265,1976,0.0,"","",""
"Argentina",9,"Direct use of treated municipal wastewater",4265,1992,0.0,"","[20]",""
