

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",2,"Agricultural water withdrawal",4250,1987,25.85,"","",""
"Afghanistan",2,"Agricultural water withdrawal",4250,1998,20.0,"","",""
"Afghanistan",2,"Industrial water withdrawal",4252,1987,0.0,"","",""
"Afghanistan",2,"Industrial water withdrawal",4252,2000,0.1285,"L","",""
"Afghanistan",2,"Industrial water withdrawal",4252,2005,0.1695,"L","",""
"Afghanistan",2,"Municipal water withdrawal",4251,1987,0.2611,"","",""
"Afghanistan",2,"Municipal water withdrawal",4251,2000,0.1542,"L","",""
"Afghanistan",2,"Municipal water withdrawal",4251,2005,0.2034,"L","",""
"Afghanistan",2,"Total water withdrawal",4253,1975,10.7,"","",""
"Afghanistan",2,"Total water withdrawal",4253,1987,26.11,"","",""
"Afghanistan",2,"Total water withdrawal",4253,2000,20.28,"I","",""
"Afghanistan",2,"Irrigation water requirement",4260,2011,10.9,"L","",""
"Afghanistan",2,"Agricultural water withdrawal as % of total water withdrawal",4254,1987,99.0,"","",""
"Afghanistan",2,"Agricultural water withdrawal as % of total water withdrawal",4254,2000,98.62,"I","",""
"Afghanistan",2,"Industrial water withdrawal as % of total water withdrawal",4256,1987,0.0,"","",""
"Afghanistan",2,"Industrial water withdrawal as % of total water withdrawal",4256,2000,0.6336,"I","",""
"Afghanistan",2,"Municipal water withdrawal as % of total withdrawal",4255,1987,1.0,"","",""
"Afghanistan",2,"Municipal water withdrawal as % of total withdrawal",4255,2000,0.7604,"I","",""
"Afghanistan",2,"Total water withdrawal per capita",4257,1975,819.5,"K","",""
"Afghanistan",2,"Total water withdrawal per capita",4257,1987,2303.0,"K","",""
"Afghanistan",2,"Total water withdrawal per capita",4257,2000,943.8,"K","",""
"Afghanistan",2,"Total freshwater withdrawal (primary and secondary)",4263,1975,10.7,"","",""
"Afghanistan",2,"Total freshwater withdrawal (primary and secondary)",4263,1987,26.11,"","",""
"Afghanistan",2,"Total freshwater withdrawal (primary and secondary)",4263,2000,20.28,"I","",""
"Albania",3,"Agricultural water withdrawal",4250,1990,1.0,"","",""
"Albania",3,"Agricultural water withdrawal",4250,1995,0.67,"","[1]",""
"Albania",3,"Agricultural water withdrawal",4250,2000,1.06,"L","",""
"Albania",3,"Agricultural water withdrawal",4250,2006,0.5176,"L","[2]",""
"Albania",3,"Industrial water withdrawal",4252,1990,0.1,"","",""
"Albania",3,"Industrial water withdrawal",4252,2000,0.2274,"L","",""
"Albania",3,"Industrial water withdrawal",4252,2005,0.2318,"L","",""
"Albania",3,"Municipal water withdrawal",4251,1990,0.1,"","",""
"Albania",3,"Municipal water withdrawal",4251,2000,0.5504,"L","",""
"Albania",3,"Municipal water withdrawal",4251,2005,0.5613,"L","",""
"Albania",3,"Total water withdrawal",4253,1990,1.2,"","",""
"Albania",3,"Total water withdrawal",4253,2000,1.838,"L","",""
"Albania",3,"Total water withdrawal",4253,2006,1.311,"L","",""
"Albania",3,"Irrigation water withdrawal",4475,2006,0.5176,"L","",""
"Albania",3,"Irrigation water requirement",4260,2006,0.322,"L","",""
"Albania",3,"Agricultural water withdrawal as % of total water withdrawal",4254,1990,83.33,"","",""
"Albania",3,"Agricultural water withdrawal as % of total water withdrawal",4254,2000,57.67,"L","",""
"Albania",3,"Agricultural water withdrawal as % of total water withdrawal",4254,2006,39.48,"L","",""
"Albania",3,"Industrial water withdrawal as % of total water withdrawal",4256,1990,8.333,"","",""
"Albania",3,"Industrial water withdrawal as % of total water withdrawal",4256,2000,12.37,"L","",""
"Albania",3,"Industrial water withdrawal as % of total water withdrawal",4256,2006,17.68,"L","",""
"Albania",3,"Municipal water withdrawal as % of total withdrawal",4255,1990,8.333,"","",""
"Albania",3,"Municipal water withdrawal as % of total withdrawal",4255,2000,29.95,"L","",""
"Albania",3,"Municipal water withdrawal as % of total withdrawal",4255,2006,42.81,"L","",""
"Albania",3,"Total water withdrawal per capita",4257,1990,370.3,"K","",""
"Albania",3,"Total water withdrawal per capita",4257,2000,588.5,"K","",""
"Albania",3,"Total water withdrawal per capita",4257,2006,435.4,"K","",""
"Albania",3,"Total freshwater withdrawal (primary and secondary)",4263,1990,1.2,"","",""
"Albania",3,"Total freshwater withdrawal (primary and secondary)",4263,2000,1.838,"I","",""
"Albania",3,"Total freshwater withdrawal (primary and secondary)",4263,2006,1.311,"I","",""
"Algeria",4,"Agricultural water withdrawal",4250,1980,2.22,"","",""
"Algeria",4,"Agricultural water withdrawal",4250,1990,2.7,"","",""
"Algeria",4,"Agricultural water withdrawal",4250,2001,3.502,"L","[3]",""
"Algeria",4,"Agricultural water withdrawal",4250,2012,4.99,"I","[4]",""
"Algeria",4,"Industrial water withdrawal",4252,1980,0.12,"","",""
"Algeria",4,"Industrial water withdrawal",4252,1990,0.68,"","",""
"Algeria",4,"Industrial water withdrawal",4252,2000,0.5,"I","",""
"Algeria",4,"Industrial water withdrawal",4252,2012,0.415,"I","[5]",""
"Algeria",4,"Municipal water withdrawal",4251,1980,0.66,"","",""
"Algeria",4,"Municipal water withdrawal",4251,1990,1.12,"","",""
"Algeria",4,"Municipal water withdrawal",4251,2000,1.721,"I","",""
"Algeria",4,"Municipal water withdrawal",4251,2012,3.02,"I","[6]",""
"Algeria",4,"Total water withdrawal",4253,1970,2.0,"","",""
"Algeria",4,"Total water withdrawal",4253,1975,2.5,"","",""
"Algeria",4,"Total water withdrawal",4253,1980,3.0,"","",""
"Algeria",4,"Total water withdrawal",4253,1985,3.5,"","",""
"Algeria",4,"Total water withdrawal",4253,1990,4.5,"","",""
"Algeria",4,"Total water withdrawal",4253,2001,5.723,"I","",""
"Algeria",4,"Total water withdrawal",4253,2012,8.425,"I","",""
"Algeria",4,"Irrigation water withdrawal",4475,2001,3.502,"L","",""
"Algeria",4,"Irrigation water requirement",4260,2001,2.511,"L","",""
"Algeria",4,"Agricultural water withdrawal as % of total water withdrawal",4254,1980,74.0,"","",""
"Algeria",4,"Agricultural water withdrawal as % of total water withdrawal",4254,1990,60.0,"","",""
"Algeria",4,"Agricultural water withdrawal as % of total water withdrawal",4254,2001,61.19,"I","",""
"Algeria",4,"Agricultural water withdrawal as % of total water withdrawal",4254,2012,59.23,"I","",""
"Algeria",4,"Industrial water withdrawal as % of total water withdrawal",4256,1980,4.0,"","",""
"Algeria",4,"Industrial water withdrawal as % of total water withdrawal",4256,1990,15.11,"","",""
"Algeria",4,"Industrial water withdrawal as % of total water withdrawal",4256,2001,8.737,"I","",""
"Algeria",4,"Industrial water withdrawal as % of total water withdrawal",4256,2012,4.926,"I","",""
"Algeria",4,"Municipal water withdrawal as % of total withdrawal",4255,1980,22.0,"","",""
"Algeria",4,"Municipal water withdrawal as % of total withdrawal",4255,1990,24.89,"","",""
"Algeria",4,"Municipal water withdrawal as % of total withdrawal",4255,2001,30.07,"I","",""
"Algeria",4,"Municipal water withdrawal as % of total withdrawal",4255,2012,35.85,"I","",""
"Algeria",4,"Total water withdrawal per capita",4257,1970,130.1,"K","",""
"Algeria",4,"Total water withdrawal per capita",4257,1975,141.3,"K","",""
"Algeria",4,"Total water withdrawal per capita",4257,1980,145.8,"K","",""
"Algeria",4,"Total water withdrawal per capita",4257,1985,146.3,"K","",""
"Algeria",4,"Total water withdrawal per capita",4257,1990,165.6,"K","",""
"Algeria",4,"Total water withdrawal per capita",4257,2001,178.9,"K","",""
"Algeria",4,"Total water withdrawal per capita",4257,2012,225.0,"K","",""
"Algeria",4,"Total freshwater withdrawal (primary and secondary)",4263,1970,2.0,"","",""
"Algeria",4,"Total freshwater withdrawal (primary and secondary)",4263,1975,2.5,"","",""
"Algeria",4,"Total freshwater withdrawal (primary and secondary)",4263,1980,3.0,"","",""
"Algeria",4,"Total freshwater withdrawal (primary and secondary)",4263,1985,3.5,"","",""
"Algeria",4,"Total freshwater withdrawal (primary and secondary)",4263,1990,4.436,"","",""
"Algeria",4,"Total freshwater withdrawal (primary and secondary)",4263,2001,5.706,"I","",""
"Algeria",4,"Total freshwater withdrawal (primary and secondary)",4263,2012,7.81,"I","",""
"Algeria",4,"Desalinated water produced",4264,1990,0.064,"","",""
"Algeria",4,"Desalinated water produced",4264,2002,0.017,"","",""
"Algeria",4,"Desalinated water produced",4264,2012,0.615,"","",""
"Angola",7,"Agricultural water withdrawal",4250,1987,0.365,"","",""
