country,water_access,gdp_pc,hdi,population
Afghanistan,0.5529999999999999,590.3,0.4653,32527.0
Albania,0.951,3954.0,0.7328,2897.0
Algeria,0.836,4210.0,0.7356,39667.0
Andorra,1.0,46106.0,0.8446,70.47
Angola,0.49,4116.0,0.5316,25022.0
Antigua and Barbuda,0.9790000000000001,14129.0,0.7834,91.82
Argentina,0.991,12622.0,0.8356,43417.0
Armenia,1.0,3499.0,0.733,3018.0
Australia,1.0,55906.0,0.935,23969.0
Austria,1.0,43768.0,0.885,8545.0
Azerbaijan,0.87,5439.0,0.7511,9754.0
Bahamas,0.9840000000000001,22898.0,0.79,388.0
Bahrain,1.0,23400.0,0.8239,1377.0
Bangladesh,0.8690000000000001,1211.0,0.5701,160996.0
Barbados,0.997,15662.0,0.7855,284.2
Belarus,0.997,5751.0,0.7984,9496.0
Belgium,1.0,40181.0,0.8903,11299.0
Belize,0.995,4907.0,0.715,359.3
Benin,0.779,779.1,0.4796,10880.0
Bhutan,1.0,2533.0,0.6052,774.8
Bolivia (Plurinational State of),0.9,3095.0,0.6618,10725.0
Bosnia and Herzegovina,0.9990000000000001,4198.0,0.7325,3810.0
Botswana,0.9620000000000001,6362.0,0.6979,2262.0
Brazil,0.981,8516.0,0.7553,207848.0
Bulgaria,0.9940000000000001,6847.0,0.7817,7150.0
Burkina Faso,0.823,613.0,0.4023,18106.0
Burundi,0.759,276.0,0.3999,11179.0
Cabo Verde,0.917,3131.0,0.6462,520.5
Cambodia,0.755,1159.0,0.5548,15578.0
Cameroon,0.7559999999999999,1251.0,0.5118,23344.0
Canada,0.998,43127.0,0.9132,35940.0
Central African Republic,0.685,306.8,0.3501,4900.0
Chad,0.508,775.7,0.3919,14037.0
Chile,0.99,13372.0,0.8322,17948.0
China,0.955,7745.0,0.7275,1407306.0
Colombia,0.914,6054.0,0.7202,48229.0
Comoros,0.9009999999999999,791.1,0.5032,788.5
Congo,0.765,1851.0,0.5906,4620.0
Cook Islands,0.9990000000000001,,,20.83
Costa Rica,0.978,10630.0,0.7657,4808.0
Croatia,0.996,11493.0,0.8175,4240.0
Cuba,0.9490000000000001,6773.0,0.769,11390.0
Cyprus,1.0,16583.0,0.8497,1165.0
Czechia,1.0,17263.0,0.8701,10543.0
Côte d'Ivoire,0.8190000000000001,1399.0,0.4622,22702.0
Democratic People's Republic of Korea,0.997,,,25155.0
Democratic Republic of the Congo,0.524,456.1,0.4331,77267.0
Denmark,1.0,52037.0,0.9233,5669.0
Djibouti,0.9,1790.0,0.4704,887.9
Dominican Republic,0.847,6374.0,0.715,10528.0
Ecuador,0.8690000000000001,6256.0,0.7317,16144.0
Egypt,0.9940000000000001,3617.0,0.6899,91508.0
El Salvador,0.938,4219.0,0.6658,6127.0
Equatorial Guinea,0.479,11120.0,0.5866,845.1
Eritrea,0.578,533.1,0.3909,5228.0
Estonia,0.996,17282.0,0.8608,1313.0
Ethiopia,0.573,619.1,0.4418,99391.0
Fiji,0.9570000000000001,4916.0,0.7271,892.1
Finland,1.0,41795.0,0.8827,5503.0
France,1.0,37581.0,0.8881,64395.0
Gabon,0.932,8313.0,0.6835,1725.0
Gambia,0.902,427.4,0.4406,1991.0
Georgia,1.0,3491.0,0.7541,4000.0
Germany,1.0,41641.0,0.9161,80689.0
Ghana,0.887,1381.0,0.5791,27410.0
Greece,1.0,17800.0,0.8652,10955.0
Grenada,0.966,9159.0,0.75,106.8
Guatemala,0.9279999999999999,3903.0,0.6272,16343.0
Guinea,0.768,531.3,0.4113,12609.0
Guinea-Bissau,0.7929999999999999,573.1,0.4196,1844.0
Guyana,0.983,4127.0,0.6357,767.1
Haiti,0.5770000000000001,828.8,0.4834,10711.0
Honduras,0.912,2496.0,0.6061,8075.0
Hungary,1.0,12278.0,0.8284,9855.0
Iceland,1.0,50390.0,0.8994,329.4
India,0.941,1579.0,0.6087,1311051.0
Indonesia,0.8740000000000001,3347.0,0.6838,257564.0
Iran (Islamic Republic of),0.9620000000000001,5372.0,0.7656,79109.0
Iraq,0.866,4640.0,0.6539,36423.0
Ireland,0.9790000000000001,50768.0,0.9155,4688.0
Israel,1.0,36706.0,0.8943,8064.0
Italy,1.0,30269.0,0.873,59798.0
Jamaica,0.938,5015.0,0.7185,2793.0
Japan,1.0,32550.0,0.8906,126573.0
Jordan,0.9690000000000001,4940.0,0.7483,7595.0
Kazakhstan,0.929,10440.0,0.7879999999999999,17625.0
Kenya,0.632,1377.0,0.5484,46050.0
Kiribati,0.669,1292.0,0.5902,112.4
Kuwait,0.99,29034.0,0.8163,3892.0
Kyrgyzstan,0.9,1106.0,0.6553,5940.0
Lao People's Democratic Republic,0.757,1812.0,0.575,6802.0
Latvia,0.993,13723.0,0.8188,1970.0
Lebanon,0.99,8050.0,0.7689,5851.0
Lesotho,0.818,1022.0,0.4965,2135.0
Liberia,0.7559999999999999,455.9,0.4297,4503.0
Lithuania,0.966,14331.0,0.8394,2878.0
Luxembourg,1.0,101911.0,0.8919,567.1
Madagascar,0.515,411.8,0.5099,24235.0
Malawi,0.902,381.4,0.4454,17215.0
Malaysia,0.982,9759.0,0.7792,30331.0
Maldives,0.986,8641.0,0.7064,363.7
Mali,0.77,744.3,0.4193,17600.0
Malta,1.0,23030.0,0.8390000000000001,418.7
Marshall Islands,0.946,3524.0,,52.99
Mauritania,0.579,1338.0,0.5059,4068.0
Mauritius,0.9990000000000001,9042.0,0.7766,1273.0
