country,gdp_pc,hdi,population,tfwtrwr
Albania,3954.0,0.7328,2897.0,4.341
Algeria,4210.0,0.7356,39667.0,66.92
Angola,4116.0,0.5316,25022.0,0.4755
Antigua and Barbuda,14129.0,0.7834,91.82,8.462
Argentina,12622.0,0.8356,43417.0,4.302
Armenia,3499.0,0.733,3018.0,42.12
Australia,55906.0,0.935,23969.0,3.407
Austria,43768.0,0.885,8545.0,4.494
Azerbaijan,5439.0,0.7511,9754.0,34.52
Bahrain,23400.0,0.8239,1377.0,205.8
Bangladesh,1211.0,0.5701,160996.0,2.923
Barbados,15662.0,0.7855,284.2,87.5
Belarus,5751.0,0.7984,9496.0,2.615
Belgium,40181.0,0.8903,11299.0,32.8
Benin,779.1,0.4796,10880.0,0.4926
Bhutan,2533.0,0.6052,774.8,0.4332
Bolivia (Plurinational State of),3095.0,0.6618,10725.0,0.3638
Bosnia and Herzegovina,4198.0,0.7325,3810.0,0.8744
Brazil,8516.0,0.7553,207848.0,0.8648
Bulgaria,6847.0,0.7817,7150.0,26.43
Burkina Faso,613.0,0.4023,18106.0,6.059
Cabo Verde,3131.0,0.6462,520.5,6.767
Cambodia,1159.0,0.5548,15578.0,0.4587
Canada,43127.0,0.9132,35940.0,1.337
Central African Republic,306.8,0.3501,4900.0,0.0514
Chad,775.7,0.3919,14037.0,1.925
Chile,13372.0,0.8322,17948.0,3.8310000000000004
China,7745.0,0.7275,1407306.0,20.92
Colombia,6054.0,0.7202,48229.0,0.4987
Congo,1851.0,0.5906,4620.0,0.0055
Costa Rica,10630.0,0.7657,4808.0,2.077
Croatia,11493.0,0.8175,4240.0,0.6008
Cuba,6773.0,0.769,11390.0,18.26
Cyprus,16583.0,0.8497,1165.0,28.44
Czechia,17263.0,0.8701,10543.0,12.55
Côte d'Ivoire,1399.0,0.4622,22702.0,1.841
Democratic People's Republic of Korea,,,25155.0,11.22
Democratic Republic of the Congo,456.1,0.4331,77267.0,0.0533
Denmark,52037.0,0.9233,5669.0,10.62
Dominica,7399.0,0.7238,72.68,10.0
Dominican Republic,6374.0,0.715,10528.0,30.37
Ecuador,6256.0,0.7317,16144.0,2.241
Egypt,3617.0,0.6899,91508.0,126.6
El Salvador,4219.0,0.6658,6127.0,8.062000000000001
