country,dam_capacity,water_access,gdp_pc,hdi,population
Afghanistan,2.009,0.553,590.3,0.4653,32527
Albania,4.03,0.951,3954,0.7328,2897
Algeria,8.304,0.836,4210,0.7356,39667
Angola,9.445,0.49,4116,0.5316,25022
Argentina,131.6,0.991,12622,0.8356,43417
Australia,77.79,1,55906,0.935,23969
Austria,2.128,1,43768,0.885,8545
Azerbaijan,21.5,0.87,5439,0.7511,9754
Belgium,0.1443,1,40181,0.8903,11299
Belize,0.1217,0.995,4907,0.715,359.3
Benin,0.0235,0.779,779.1,0.4796,10880
Bolivia (Plurinational State of),0.5951,0.9,3095,0.6618,10725
Bosnia and Herzegovina,2.912,0.999,4198,0.7325,3810
Botswana,0.4537,0.962,6362,0.6979,2262
Bulgaria,6.518,0.994,6847,0.7817,7150
Burkina Faso,5.338,0.823,613,0.4023,18106
Cameroon,15.61,0.756,1251,0.5118,23344
Colombia,11.28,0.914,6054,0.7202,48229
Congo,0.009,0.765,1851,0.5906,4620
Costa Rica,1.997,0.978,10630,0.7657,4808
Croatia,0.962,0.996,11493,0.8175,4240
Czechia,3.184,1,17263,0.8701,10543
Côte d'Ivoire,37.24,0.819,1399,0.4622,22702
Democratic Republic of the Congo,0.0529,0.524,456.1,0.4331,77267
Dominican Republic,2.301,0.847,6374,0.715,10528
Ecuador,7.692,0.869,6256,0.7317,16144
Egypt,168.2,0.994,3617,0.6899,91508
Eritrea,0.0441,0.578,533.1,0.3909,5228
Estonia,0.1825,0.996,17282,0.8608,1313
Ethiopia,31.48,0.573,619.1,0.4418,99391
Fiji,0.133,0.957,4916,0.7271,892.1
Finland,18.6,1,41795,0.8827,5503
France,9.981,1,37581,0.8881,64395
Gabon,0.22,0.932,8313,0.6835,1725
Georgia,3.414,1,3491,0.7541,4000
Ghana,148.5,0.887,1381,0.5791,27410
Greece,12.32,1,17800,0.8652,10955
Guatemala,0.4638,0.928,3903,0.6272,16343
Guinea,1.837,0.768,531.3,0.4113,12609
Guyana,0.8092,0.983,4127,0.6357,767.1
Haiti,0.297,0.577,828.8,0.4834,10711
Hungary,0.2564,1,12278,0.8284,9855
Iceland,2.306,1,50390,0.8994,329.4
Indonesia,23.02,0.874,3347,0.6838,257564
Iran (Islamic Republic of),32.24,0.962,5372,0.7656,79109
Iraq,151.8,0.866,4640,0.6539,36423
Ireland,0.869,0.979,50768,0.9155,4688
Jordan,0.2749,0.969,4940,0.7483,7595
Kazakhstan,79.95,0.929,10440,0.788,17625
Kenya,24.79,0.632,1377,0.5484,46050
Latvia,1.007,0.993,13723,0.8188,1970
Lebanon,0.228,0.99,8050,0.7689,5851
Lesotho,2.82,0.818,1022,0.4965,2135
Liberia,0.2386,0.756,455.9,0.4297,4503
Lithuania,1.822,0.966,14331,0.8394,2878
Luxembourg,0.062,1,101911,0.8919,567.1
Madagascar,0.4935,0.515,411.8,0.5099,24235
Malawi,0.0418,0.902,381.4,0.4454,17215
Malaysia,22.45,0.982,9759,0.7792,30331
Mali,13.79,0.77,744.3,0.4193,17600
Mauritania,0.5,0.579,1338,0.5059,4068
Mauritius,0.0929,0.999,9042,0.7766,1273
Mongolia,0.25,0.644,3974,0.7266,2959
Morocco,17.96,0.854,2909,0.628,34378
Mozambique,74.14,0.511,525,0.4164,27978
Namibia,0.7085,0.91,4695,0.6276,2459
Nepal,0.0853,0.916,732.3,0.5475,28514
Netherlands,9.234,1,44490,0.9218,16925
New Zealand,16.89,1,38419,0.9135,4529
Nicaragua,32.01,0.87,2087,0.6314,6082
Niger,0.0936,0.582,359,0.3483,19899
Nigeria,50.67,0.685,2640,0.514,182202
Norway,33.28,1,74458,0.9439,5211
Oman,0.0884,0.934,15643,0.793,4491
Pakistan,27.81,0.914,1429,0.5384,188925
Panama,9.137,0.947,13269,0.7797,3929
Paraguay,33.53,0.98,4161,0.6792,6639
Peru,5.773,0.867,6119,0.7342,31377
Poland,2.956,0.983,12302,0.8427,38612
Portugal,11.63,1,19227,0.8301,10350
Romania,11.06,1,9123,0.7928,19511
Samoa,0.01,0.99,3939,0.7021,193.2
Saudi Arabia,1.004,0.97,20482,0.8373,31540
Senegal,0.25,0.785,910.8,0.4659,15129
Serbia,2.27,0.992,4125,0.7711,8851
Sierra Leone,0.22,0.626,693.4,0.4128,6453
Singapore,0.0749,1,52284,0.9118,5604
Slovakia,1.727,1,15957,0.8436,5426
Slovenia,0.0335,0.995,20671,0.8803,2068
South Africa,31.02,0.932,5744,0.6659,54490
Spain,53.81,1,26018,0.8761,46122
Suriname,20,0.948,8983,0.7143,543
Swaziland,0.585,0.741,3155,0.5306,1287
Sweden,35.96,1,50414,0.9068,9779
Switzerland,3.343,1,80130,0.9296,8299
The former Yugoslav Republic of Macedonia,2.29,0.994,4854,0.7473,2078
Togo,1.717,0.631,547.9,0.4835,7305
Trinidad and Tobago,0.0715,0.951,20445,0.7719,1360
Tunisia,2.691,0.977,3822,0.7212,11254
Turkey,157.3,1,9127,0.7611,78666
Uganda,80,0.79,675.6,0.4827,39032
United Arab Emirates,0.0611,0.996,40406,0.8355,9157
United Kingdom,5.272,1,44039,0.9067,64716
United Republic of Tanzania,104.2,0.556,839.6,0.5212,53470
Uruguay,17.15,0.997,15572,0.7928,3432
Venezuela (Bolivarian Republic of),157.6,0.931,11926,0.7623,31108
Zambia,101.1,0.654,1308,0.5855,16212
Zimbabwe,99.93,0.769,890.4,0.5087,15603
