country,water_access,gdp_pc,hdi,population
Afghanistan,0.553,590.3,0.4653,32527
Albania,0.951,3954,0.7328,2897
Algeria,0.836,4210,0.7356,39667
Andorra,1,46106,0.8446,70.47
Angola,0.49,4116,0.5316,25022
Antigua and Barbuda,0.979,14129,0.7834,91.82
Argentina,0.991,12622,0.8356,43417
Armenia,1,3499,0.733,3018
Australia,1,55906,0.935,23969
Austria,1,43768,0.885,8545
Azerbaijan,0.87,5439,0.7511,9754
Bahamas,0.984,22898,0.79,388
Bahrain,1,23400,0.8239,1377
Bangladesh,0.869,1211,0.5701,160996
Barbados,0.997,15662,0.7855,284.2
Belarus,0.997,5751,0.7984,9496
Belgium,1,40181,0.8903,11299
Belize,0.995,4907,0.715,359.3
Benin,0.779,779.1,0.4796,10880
Bhutan,1,2533,0.6052,774.8
Bolivia (Plurinational State of),0.9,3095,0.6618,10725
Bosnia and Herzegovina,0.999,4198,0.7325,3810
Botswana,0.962,6362,0.6979,2262
Brazil,0.981,8516,0.7553,207848
Bulgaria,0.994,6847,0.7817,7150
Burkina Faso,0.823,613,0.4023,18106
Burundi,0.759,276,0.3999,11179
Cabo Verde,0.917,3131,0.6462,520.5
Cambodia,0.755,1159,0.5548,15578
Cameroon,0.756,1251,0.5118,23344
Canada,0.998,43127,0.9132,35940
Central African Republic,0.685,306.8,0.3501,4900
Chad,0.508,775.7,0.3919,14037
Chile,0.99,13372,0.8322,17948
China,0.955,7745,0.7275,1407306
Colombia,0.914,6054,0.7202,48229
Comoros,0.901,791.1,0.5032,788.5
Congo,0.765,1851,0.5906,4620
Costa Rica,0.978,10630,0.7657,4808
Croatia,0.996,11493,0.8175,4240
Cuba,0.949,6773,0.769,11390
Cyprus,1,16583,0.8497,1165
Czechia,1,17263,0.8701,10543
Côte d'Ivoire,0.819,1399,0.4622,22702
Democratic Republic of the Congo,0.524,456.1,0.4331,77267
Denmark,1,52037,0.9233,5669
Djibouti,0.9,1790,0.4704,887.9
Dominican Republic,0.847,6374,0.715,10528
Ecuador,0.869,6256,0.7317,16144
Egypt,0.994,3617,0.6899,91508
El Salvador,0.938,4219,0.6658,6127
Equatorial Guinea,0.479,11120,0.5866,845.1
Eritrea,0.578,533.1,0.3909,5228
Estonia,0.996,17282,0.8608,1313
Ethiopia,0.573,619.1,0.4418,99391
Fiji,0.957,4916,0.7271,892.1
Finland,1,41795,0.8827,5503
France,1,37581,0.8881,64395
Gabon,0.932,8313,0.6835,1725
Gambia,0.902,427.4,0.4406,1991
Georgia,1,3491,0.7541,4000
Germany,1,41641,0.9161,80689
Ghana,0.887,1381,0.5791,27410
Greece,1,17800,0.8652,10955
Grenada,0.966,9159,0.75,106.8
Guatemala,0.928,3903,0.6272,16343
Guinea,0.768,531.3,0.4113,12609
Guinea-Bissau,0.793,573.1,0.4196,1844
Guyana,0.983,4127,0.6357,767.1
Haiti,0.577,828.8,0.4834,10711
Honduras,0.912,2496,0.6061,8075
Hungary,1,12278,0.8284,9855
Iceland,1,50390,0.8994,329.4
India,0.941,1579,0.6087,1311051
