country,renew_pc
Afghanistan,2008
Albania,10425
Algeria,294.2
Andorra,4479
Angola,5931
Antigua and Barbuda,566.3
Argentina,20181
Armenia,2574
Australia,20527
Austria,9093
Azerbaijan,3555
Bahamas,1804
Bahrain,84.24
Bangladesh,7621
Barbados,281.5
Belarus,6097
Belgium,1620
Belize,60479
Benin,2426
Bhutan,100671
Bolivia,53520
Bosnia and Herzegovina,9843
Botswana,5411
Brazil,41603
Brunei Darussalam,20085
Bulgaria,2979
Burkina Faso,745.6
Burundi,1122
Cabo Verde,576.4
Cambodia,30562
Cameroon,12127
Canada,80746
Central African Republic,28776
Chad,3256
Chile,51432
China,2018
Colombia,48933
Comoros,1522
Republic of the Congo,180087
Cook Islands,
Costa Rica,23502
Croatia,24882
Cuba,3347
Cyprus,669.5
Czech Republic,1247
Côte d'Ivoire,3706
Dem. Rep. Korea,3067
Democratic Republic of the Congo,16605
Denmark,1058
Djibouti,337.9
Dominica,2752
Dominican Republic,2232
Ecuador,27403
Egypt,637.1
El Salvador,4288
Equatorial Guinea,30766
Eritrea,1399
Estonia,9756
Ethiopia,1227
Faroe Islands,
Fiji,32003
Finland,19989
France,3277
Gabon,96232
The Gambia,4018
Georgia,15832
Germany,1909
Ghana,2050
Greece,6244
Grenada,1873
Guatemala,7826
Guinea,17924
Guinea-Bissau,17028
Guyana,353279
Haiti,1310
Honduras,11413
Hungary,10553
Iceland,516090
India,1458
Indonesia,7839
Iran,1732
Iraq,2467
Ireland,11092
Israel,220.7
Italy,3199
Jamaica,3874
Japan,3397
Jordan,123.4
Kazakhstan,6150
Kenya,666.7
Kiribati,
Kuwait,5.139
Kyrgyzstan,3976
Lao PDR,49030
Latvia,17736
Lebanon,769.6
Lesotho,1415
Liberia,51521
Libya,111.5
Lithuania,8513
Luxembourg,6172
Madagascar,13906
Malawi,1004
Malaysia,19122
Maldives,82.49
Mali,6818
Malta,120.6
Marshall Islands,
Mauritania,2802
Mauritius,2161
Mexico,3637
Micronesia (Federated States of),
Mongolia,11761
Morocco,843.6
Mozambique,7760
Myanmar,21671
Namibia,16230
Nauru,
Nepal,7372
Netherlands,5377
New Zealand,72201
Nicaragua,27047
Niger,1711
Nigeria,1571
Niue,
Norway,75417
Palestine,179.3
Oman,311.7
Pakistan,1306
Palau,
Panama,35454
Papua New Guinea,105132
Paraguay,58412
Peru,59916
Philippines,4757
Poland,1567
Portugal,7478
Puerto Rico,1928
Qatar,25.95
Republic of Korea,1386
Moldova,3015
Romania,10866
Russian Federation,31543
Rwanda,1146
Saint Kitts and Nevis,431.9
Saint Lucia,1622
Saint Vincent and the Grenadines,913.2
Samoa,
Sao Tome and Principe,11456
Saudi Arabia,76.09
Senegal,2576
Serbia,18326
Seychelles,
Sierra Leone,24795
Singapore,107.1
Slovakia,9233
Slovenia,15411
Solomon Islands,76594
Somalia,1363
South Africa,942.4
South Sudan,4011
Spain,2418
Sri Lanka,2549
Sudan,939.5
Suriname,182320
Swaziland,3504
Sweden,17793
Switzerland,6447
Syria,908
Tajikistan,2583
Thailand,6454
Macedonia,3080
Timor-Leste,6932
Togo,2012
Tokelau,
Tonga,
Trinidad and Tobago,2824
Tunisia,410.1
Turkey,2690
Turkmenistan,4609
Tuvalu,
Uganda,1540
Ukraine,3911
United Arab Emirates,16.38
United Kingdom,2271
Tanzania,1800
United States,9538
Uruguay,50175
Uzbekistan,1635
Vanuatu,37793
Venezuela,42594
Vietnam,9461
Yemen,78.26
Zambia,6464
Zimbabwe,1282
